ID.	Age	Sex	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p40	h1	h2	h3	h4	h5	h6	h7	h8	h9	h10	h11	h12	h13	h14	h15	h16	h17	h18	h19	h20	h21	h22	h23	h24	h25	h26	h27	h28	h29	h30	h31	h32	h33	h34	h35	h36	h37	h38	h39	h40	h41	h42	eA1	eA2	eA3	eA4	eBafallx	eBafallhrs	eBaspringx	eBaspringhrs	eBbfallx	eBbfallhrs	eBbspringx	eBbspringhrs	eBcfallx	eBcfallhrs	eBcspringx	eBcsrpinghrs	eqF
77	23	1	4	4	4	4	5	4	4	5	3	2	5	3	4	4	3	5	4	4	4	4	2	3	2	2	4	4	4	4	4	4	3	4	4	2	4	5	4	3	4	5	5	3	4	4	4	3	4	5	2	2	3	2	5	4	4	2	5	3	4	5	3	4	3	4	3	5	5	2	5	3	4	5	2	4	3	3	4	2	5	4	3	4	1	1	1	1	3	1.5	3.5	6.5	NA	NA	5.5	12	1.5	1.5	5	5	37.2
78	21	2	4	5	1	4	1	1	3	3	3	4	1	2	1	4	4	3	4	4	2	4	2	2	5	4	4	4	4	4	2	2	4	1	1	4	4	3	4	2	5	2	3	5	3	5	3	2	2	3	4	3	2	2	3	4	4	5	2	3	4	4	2	3	4	2	4	2	4	5	3	4	2	3	5	5	3	3	1	4	4	4	4	4	2	1	1	1	3	4	1	1	5	6	5	6	6	8	6	8	30
79	21	2	3	4	3	4	4	3	4	4	4	4	4	4	3	3	3	4	3	4	4	4	3	3	2	3	4	4	4	4	4	4	4	4	4	3	4	4	3	3	3	4	4	5	3	5	4	3	1	3	3	2	4	2	4	4	4	3	3	3	4	4	3	4	3	4	4	3	5	4	3	3	4	4	3	3	3	2	3	3	4	4	2	4	1	1	1	1	1	1	1	1	3	6	2	4	5	5	5	10	31.8
80	20	1	3	4	5	4	5	3	4	5	4	3	4	5	4	2	5	3	5	3	5	4	3	2	3	3	4	3	5	4	3	4	2	4	5	3	4	5	1	3	4	5	5	5	3	3	3	5	4	5	3	3	4	5	5	5	5	3	4	3	4	5	3	5	3	5	3	4	5	4	5	3	5	5	4	2	4	2	4	4	4	2	5	4	1	0	1	1	2	2	3.5	3.5	3	5	5	10	4	20	5	30	31.4
81	20	2	5	3	4	4	5	3	5	5	2	2	2	3	5	5	5	4	4	4	5	5	4	5	3	3	5	5	5	5	5	5	3	4	4	2	5	4	5	4	3	5	4	5	4	5	5	2	1	3	1	NA	4	2	5	5	5	1	5	5	5	5	5	4	1	4	5	5	5	1	4	4	5	5	4	4	3	1	5	5	5	5	3	5	1	1	1	1	6	6	3	3	3	3	6	6	10	8	13	18	35.4
82	21	2	4	4	3	4	4	4	3	4	5	3	4	4	4	4	4	4	4	4	4	4	3	2	4	2	5	4	4	4	3	4	3	4	4	4	4	4	3	4	4	5	5	4	4	4	2	4	4	4	3	2	4	5	4	4	4	3	4	2	4	5	3	4	5	4	4	5	4	4	3	3	4	4	3	3	3	3	3	2	5	3	3	4	2	2	2	2	0	0	0	0	0	0	1	2	1	0.5	2	2	34.2
83	23	1	3	3	4	4	4	3	4	4	4	4	4	3	4	5	4	4	5	4	4	4	3	3	2	3	4	5	4	5	4	4	4	4	5	3	4	4	3	4	3	4	5	4	2	5	3	3	5	5	3	4	4	3	5	5	5	3	5	3	5	4	5	5	3	3	5	3	5	4	2	4	1	4	4	4	4	5	3	5	4	3	4	4	1	1	1	1	3	3	3	4	3	3	3	5	5	5	5	5	30.8
84	21	1	2	3	2	2	5	3	3	4	4	2	5	4	4	5	2	5	4	3	5	4	3	2	2	3	5	5	5	5	2	4	2	4	4	1	4	5	3	3	4	5	5	4	4	4	3	3	2	5	3	3	2	2	5	5	5	1	5	2	4	4	4	5	2	4	4	4	5	4	5	3	4	5	5	4	3	2	4	2	4	2	4	3	2	2	1	1	0	0	3	3	3.5	1.8	4.5	2.5	0	0	0	0	34.8
85	23	1	4	3	3	2	4	4	4	4	4	3	4	4	4	3	4	3	4	4	4	4	5	4	4	4	4	3	4	2	5	5	5	4	5	3	4	4	4	4	3	5	5	4	5	4	4	3	1	4	3	2	4	2	5	4	4	2	5	3	4	5	4	4	2	5	4	5	4	3	5	2	5	5	4	3	3	1	4	2	4	5	4	4	2	1	1	1	2	2	2	1	5	3	5	3	5	5	5	5	35.6
86	28	2	5	4	4	4	4	4	4	4	2	2	4	3	3	4	3	5	5	4	4	5	4	4	4	2	4	4	4	4	4	4	4	4	4	2	5	4	4	4	4	3	4	4	3	3	5	2	1	4	2	4	3	2	5	5	5	2	4	4	4	4	4	4	2	4	3	4	4	2	4	3	4	4	3	3	2	2	3	3	3	3	2	4	1	1	1	1	5	7	6	9	7	2	7	2	1	1	1	1	34.6
87	22	1	2	3	3	2	5	4	4	4	4	2	4	4	3	4	3	5	4	4	4	3	4	4	2	3	4	4	4	5	4	4	3	4	5	2	4	5	4	4	3	4	5	4	4	2	5	1	2	4	2	2	3	2	5	4	3	2	4	4	4	5	3	4	2	3	3	5	4	2	4	2	5	4	2	3	3	2	5	4	4	2	3	3	1	1	1	1	6	12	4	8	5	2.5	5	2.5	2	1	2	4	33.2
88	23	1	4	4	3	3	4	4	4	4	3	3	4	4	3	3	4	4	4	3	4	4	4	2	3	3	4	3	4	5	3	4	4	4	4	2	4	4	4	3	3	5	5	4	5	4	4	3	3	4	2	2	5	4	5	4	4	3	5	4	4	5	5	5	3	5	4	4	4	3	5	4	4	4	5	4	3	2	4	3	3	4	3	3	1	1	1	1	3	4	5	8	3	3	2	3	5	2.5	5	2.5	33.2
89	21	1	3	3	4	1	5	3	4	4	5	4	3	3	4	3	3	4	4	5	4	5	2	2	3	4	5	2	5	3	3	5	2	4	5	4	5	5	2	3	4	5	4	3	2	4	1	4	4	5	4	3	1	4	3	3	3	4	3	1	4	4	3	4	3	3	3	2	4	5	3	3	3	4	4	2	5	3	1	3	1	1	4	2	1	2	1	1	3	1.5	2	1	4	2	1	0.5	2	1	1	0.5	31.8
90	22	1	4	3	5	2	5	4	4	4	4	4	4	5	4	4	3	4	4	3	5	3	4	2	4	4	4	4	4	4	4	3	3	5	5	4	5	4	4	3	3	4	5	4	5	5	4	2	3	5	2	2	2	2	5	4	4	2	5	3	5	5	4	5	2	4	2	4	5	2	4	2	4	4	2	4	2	4	4	2	4	3	3	3	1	1	1	1	3.5	3.5	4.5	4.5	5	5	5	5	7	7	7	7	39.6
91	40	1	1	3	5	3	5	1	5	5	5	4	1	2	5	5	5	5	1	5	5	5	1	5	5	5	5	5	5	5	1	5	1	5	5	5	5	5	2	1	5	1	5	5	1	5	1	1	5	5	5	3	2	4	5	5	5	1	5	3	5	5	5	5	5	5	5	5	5	1	5	4	5	5	5	5	5	5	4	5	5	5	5	5	2	2	2	1	0	0	5	5	0	0	10	10	0	0	18	20	33
92	23	1	4	3	4	3	4	5	3	4	3	2	5	2	4	4	2	4	4	3	3	4	5	3	2	2	4	4	4	3	3	4	4	4	4	2	4	4	3	4	3	3	4	4	3	3	2	4	4	3	3	3	3	4	3	3	4	3	4	2	3	4	4	3	4	4	3	3	3	4	3	2	4	3	3	3	4	3	3	3	3	3	4	3	2	1	1	1	1	0.5	2	1	10	5	10	5	6	5	6	5	28.4
